seq_length,hidden_size,dropout,lr,batch_size,num_layers,train_rmse,test_rmse,rmse_gap,test_pred_std,test_actual_std,test_std_ratio,county
12,64,0.4,0.005,4,2,3.5478874579670223,0.16126035987101525,-3.386627098096007,0.5478606424028556,0.3211675795005199,1.7058404315120752,Kern
12,8,0.1,0.001,8,1,5.850273337296654,0.24038218866840597,-5.609891148628249,0.17015686901917668,0.3211675795005199,0.5298071159106558,Kern
12,16,0.4,0.001,8,1,6.753102732075735,0.2692839072892747,-6.483818824786461,0.03041126734298578,0.3211675795005199,0.09468971740635033,Kern
12,16,0.1,0.0001,8,1,11.52823958187214,0.35139873074221906,-11.176840851129922,0.006391712073560865,0.3211675795005199,0.019901485957895444,Kern
12,64,0.2,0.0001,4,2,5.6517133274787446,0.35891091305475,-5.292802414423995,0.28371790015874077,0.3211675795005199,0.8833952063280457,Kern
12,8,0.4,0.0001,8,2,11.011438006783901,0.4542081880014471,-10.557229818782455,0.2650578487994493,0.3211675795005199,0.8252945369257617,Kern
12,16,0.1,0.005,4,1,6.094371006046354,0.4719863584397121,-5.622384647606642,0.2586322808726483,0.3211675795005199,0.8052876360524105,Kern
12,16,0.1,0.0001,8,2,11.27818429370672,0.5999593223133931,-10.678224971393327,0.05401603250434672,0.3211675795005199,0.1681864420697522,Kern
12,8,0.1,0.005,4,1,3.9692194081997987,0.6047359011316357,-3.364483507068163,0.8256566142093282,0.3211675795005199,2.5707968889431188,Kern
12,8,0.3,0.0005,4,2,6.965106693978055,0.6252006494059298,-6.339906044572126,0.13009349628339714,0.3211675795005199,0.40506422374798434,Kern
12,64,0.4,0.005,6,1,3.434816976750272,0.6428232217253255,-2.7919937550249463,1.010194922592317,0.3211675795005199,3.1453826197630943,Kern
12,8,0.4,0.001,4,2,6.935708210298556,0.7037828276132363,-6.23192538268532,0.6182556225401279,0.3211675795005199,1.9250250087559884,Kern
12,32,0.0,0.005,8,1,4.8874429543218,0.7039522081047195,-4.183490746217081,1.1743862793972402,0.3211675795005199,3.6566152823508737,Kern
12,64,0.1,0.005,4,2,3.3367549536798036,0.7153456635112712,-2.6214092901685326,1.1941787118364742,0.3211675795005199,3.7182417779953445,Kern
12,32,0.0,0.005,6,1,2.5479840093326995,0.7820251294102163,-1.7659588799224832,1.3851375231314815,0.3211675795005199,4.312818639059548,Kern
12,32,0.0,0.005,4,2,3.1367344800238293,0.782374947250315,-2.3543595327735143,0.6498036807607258,0.3211675795005199,2.02325428292389,Kern
9,64,0.2,0.0001,6,2,6.296803067310252,0.8255864882840165,-5.471216579026236,1.3146756597821168,1.7517647756513988,0.750486411221079,Kern
12,16,0.3,0.005,4,2,2.3749045440808176,0.829758052796301,-1.5451464912845165,1.4945368027717716,0.3211675795005199,4.653448536418516,Kern
12,8,0.0,0.0005,8,2,8.130210744773118,0.8955345738278911,-7.234676170945226,0.8210875292518756,0.3211675795005199,2.556570406417832,Kern
12,16,0.2,0.0001,8,1,11.205967068097996,0.9690362481426068,-10.23693081995539,0.10449175681487376,0.3211675795005199,0.32534964138466105,Kern
12,16,0.4,0.005,6,2,3.116255857147596,0.9757516930880932,-2.140504164059503,0.8526250371919999,0.3211675795005199,2.6547668308177403,Kern
12,64,0.2,0.005,4,1,4.689543642143785,0.9768008412725425,-3.712742800871242,0.4036009051861418,0.3211675795005199,1.2566676431469896,Kern
12,16,0.4,0.005,4,1,3.643831614930858,0.9819428027587459,-2.661888812172112,0.4742142934776025,0.3211675795005199,1.4765322646049799,Kern
12,8,0.3,0.005,6,1,3.153253577906705,1.0309865741221367,-2.122267003784568,0.8003915517865636,0.3211675795005199,2.4921305974635835,Kern
12,8,0.1,0.001,6,2,6.266820883648572,1.035583394126313,-5.231237489522259,1.1758008736580254,0.3211675795005199,3.6610198186461784,Kern
12,16,0.1,0.0001,6,2,10.583273735078537,1.0562873711933571,-9.526986363885179,0.3238981311528702,0.3211675795005199,1.008501952957384,Kern
9,32,0.0,0.0001,4,1,8.368957760427188,1.058285692092691,-7.310672068334497,0.7362273629591926,1.7517647756513988,0.42027752423862064,Kern
9,8,0.3,0.005,4,2,4.353719475296691,1.1196262382360886,-3.234093237060602,0.5713240294262102,1.7517647756513988,0.3261419782880163,Kern
9,64,0.1,0.0001,8,2,8.719799826747012,1.1262369737758742,-7.593562852971138,0.8773715185696112,1.7517647756513988,0.5008500746016873,Kern
12,16,0.3,0.0001,8,1,11.06044784566986,1.1263329260753292,-9.93411491959453,0.01134232393935028,0.3211675795005199,0.03531590566205304,Kern
9,8,0.4,0.0005,6,2,8.517681686096871,1.1501593886377641,-7.367522297459107,0.7931275363114475,1.7517647756513988,0.4527591531326007,Kern
9,8,0.3,0.001,8,2,5.161720518582251,1.1532469622967756,-4.008473556285475,0.8850176809910835,1.7517647756513988,0.5052149085838235,Kern
12,8,0.0,0.005,8,2,3.1564639574633495,1.1727008322913075,-1.983763125172042,0.7317820955753617,0.3211675795005199,2.278505497701324,Kern
9,16,0.4,0.0005,6,2,6.440230489908573,1.174613835757583,-5.26561665415099,2.1972479705745203,1.7517647756513988,1.254305373138621,Kern
9,16,0.2,0.0001,4,1,9.616296569271572,1.1801815580085673,-8.436115011263006,0.5064443200598086,1.7517647756513988,0.28910520813017593,Kern
12,8,0.0,0.005,4,2,3.3869153397564022,1.1834140996037148,-2.2035012401526872,1.1641960147605086,0.3211675795005199,3.6248864738186444,Kern
12,8,0.0,0.0005,4,2,7.19784243274127,1.198042703791182,-5.999799728950088,0.7715945823575509,0.3211675795005199,2.402467221497062,Kern
12,16,0.3,0.0005,4,1,5.673719478826926,1.1981643791518375,-4.475555099675089,1.3475267646335458,0.3211675795005199,4.19571230299528,Kern
12,16,0.2,0.0001,4,2,10.041935969841328,1.2043695292562595,-8.837566440585068,0.06150044156543134,0.3211675795005199,0.1914901923197755,Kern
9,32,0.2,0.0001,8,1,10.3938659064237,1.2082765516949068,-9.185589354728794,1.0659666697363188,1.7517647756513988,0.6085101633236895,Kern
9,8,0.1,0.005,8,2,4.664896678930425,1.2112756434565553,-3.45362103547387,0.48485957172614363,1.7517647756513988,0.27678349197645397,Kern
12,16,0.0,0.005,6,2,1.8062887505268446,1.2116406071294723,-0.5946481433973723,0.8494002738792427,0.3211675795005199,2.6447260810080233,Kern
12,64,0.1,0.005,6,1,2.0174863406615224,1.2124144335612363,-0.8050719071002861,1.2667234732045138,0.3211675795005199,3.9441199985830555,Kern
9,64,0.3,0.0001,8,1,8.829476139345358,1.2132264261092585,-7.616249713236099,1.0188065655472727,1.7517647756513988,0.581588681144948,Kern
9,64,0.4,0.0001,4,2,5.942670624836125,1.2183151142098954,-4.724355510626229,1.866432373456281,1.7517647756513988,1.065458330592498,Kern
9,8,0.3,0.0001,6,2,11.004886907442298,1.248464353282372,-9.756422554159926,0.7919227616165175,1.7517647756513988,0.45207140400573403,Kern
12,16,0.2,0.0001,8,2,10.739208163924534,1.284134908282418,-9.455073255642116,0.02710182396846954,0.3211675795005199,0.0843853044277331,Kern
9,8,0.2,0.005,4,2,3.2547771254423368,1.2991467133896124,-1.9556304120527244,0.39273902106838904,1.7517647756513988,0.22419620860474712,Kern
6,16,0.2,0.0005,4,2,7.88451258840584,1.3033291063308852,-6.581183482074954,5.109957892405097,4.662766479788639,1.0959068858701948,Kern
6,16,0.1,0.0005,8,1,8.610524704046066,1.3047336118166082,-7.305791092229457,3.9329630395297266,4.662766479788639,0.8434827385368023,Kern
9,64,0.0,0.0001,6,1,8.062963409176517,1.3130116561939462,-6.74995175298257,0.885402613431305,1.7517647756513988,0.5054346483831229,Kern
9,64,0.1,0.0001,8,1,7.945168225189039,1.341641324694141,-6.603526900494898,1.6835514045138031,1.7517647756513988,0.9610601993568284,Kern
9,32,0.1,0.0001,4,1,9.148212481665864,1.3559533907924097,-7.792259090873454,0.5007337114670037,1.7517647756513988,0.2858452906617011,Kern
12,8,0.1,0.001,4,1,4.711768823660327,1.3768680518246061,-3.334900771835721,1.0913773374603817,0.3211675795005199,3.3981553778176887,Kern
6,64,0.4,0.0001,4,2,9.321071517963512,1.3794458022804321,-7.94162571568308,3.7116753956188635,4.662766479788639,0.796024294098278,Kern
12,16,0.4,0.0005,6,1,7.166435455192272,1.410076609156504,-5.756358846035768,1.1819377751323468,0.3211675795005199,3.6801279163061773,Kern
9,8,0.1,0.001,6,1,7.9834331764972655,1.4171834872691846,-6.566249689228081,0.4024085304001287,1.7517647756513988,0.22971607603566063,Kern
6,64,0.2,0.0001,4,1,8.489432154850098,1.4181166671016816,-7.071315487748416,4.471351471131922,4.662766479788639,0.9589481889160804,Kern
12,64,0.0,0.005,4,2,1.2816169474916594,1.4199264410900179,0.13830949359835842,1.1815678650337011,0.3211675795005199,3.6789761496825943,Kern
9,8,0.0,0.0005,8,1,8.493630074079856,1.4338231454286168,-7.0598069286512395,1.25243828358988,1.7517647756513988,0.7149580246150099,Kern
12,8,0.1,0.0001,4,2,10.14984083054068,1.4351937546433926,-8.714647075897288,1.2893647690158543,0.3211675795005199,4.014616827206145,Kern
