Year-Month,cv_mentions_rate,cv_mentions_rate_lag3,cv_mentions_rate_lag6,risk_mentions_rate,risk_mentions_rate_lag3,risk_mentions_rate_lag6
2008-04,0.0,,,0.0,,
2008-05,0.0,,,0.0,,
2008-06,0.0,,,0.0,,
2008-07,0.0,0.0,,0.0,0.0,
2008-08,0.0,0.0,,3.0,0.0,
2008-09,0.0,0.0,,2.5,0.0,
2008-10,0.0,0.0,0.0,0.0,0.0,0.0
2008-11,0.0,0.0,0.0,0.0,3.0,0.0
2008-12,0.0,0.0,0.0,0.0,2.5,0.0
2009-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-02,12.0,0.0,0.0,12.0,0.0,3.0
2009-03,0.0,0.0,0.0,0.0,0.0,2.5
2009-04,4.0,0.0,0.0,0.0,0.0,0.0
2009-05,0.0,12.0,0.0,0.0,12.0,0.0
2009-06,0.0,0.0,0.0,0.0,0.0,0.0
2009-07,0.0,4.0,0.0,0.0,0.0,0.0
2009-08,0.0,0.0,12.0,0.0,0.0,12.0
2009-09,0.6666666666666666,0.0,0.0,5.666666666666667,0.0,0.0
2009-10,0.6666666666666666,0.0,4.0,1.0,0.0,0.0
2009-11,0.0,0.0,0.0,0.0,0.0,0.0
2009-12,0.0,0.6666666666666666,0.0,0.0,5.666666666666667,0.0
2010-01,0.0,0.6666666666666666,0.0,0.0,1.0,0.0
2010-02,0.0,0.0,0.0,0.0,0.0,0.0
2010-03,0.0,0.0,0.6666666666666666,1.0,0.0,5.666666666666667
2010-04,0.0,0.0,0.6666666666666666,0.0,0.0,1.0
2010-05,0.0,0.0,0.0,0.0,0.0,0.0
2010-06,0.0,0.0,0.0,0.0,1.0,0.0
2010-07,0.0,0.0,0.0,0.75,0.0,0.0
2010-08,0.0,0.0,0.0,0.0,0.0,0.0
2010-09,0.0,0.0,0.0,0.0,0.0,1.0
2010-10,0.0,0.0,0.0,0.0,0.75,0.0
2010-11,0.0,0.0,0.0,0.0,0.0,0.0
2010-12,0.0,0.0,0.0,0.0,0.0,0.0
2011-01,0.0,0.0,0.0,0.0,0.0,0.75
2011-02,0.0,0.0,0.0,0.0,0.0,0.0
2011-03,0.0,0.0,0.0,0.0,0.0,0.0
2011-04,0.0,0.0,0.0,1.0,0.0,0.0
