Year-Month,Num_Articles,News_lag1,News_lag3,News_lag6
2008-04,1,,,
2008-05,0,1.0,,
2008-06,0,0.0,,
2008-07,0,0.0,1.0,
2008-08,1,0.0,0.0,
2008-09,2,1.0,0.0,
2008-10,0,2.0,0.0,1.0
2008-11,2,0.0,1.0,0.0
2008-12,0,2.0,2.0,0.0
2009-01,0,0.0,0.0,0.0
2009-02,1,0.0,2.0,1.0
2009-03,0,1.0,0.0,2.0
2009-04,2,0.0,0.0,0.0
2009-05,0,2.0,1.0,2.0
2009-06,1,0.0,0.0,0.0
2009-07,0,1.0,2.0,0.0
2009-08,1,0.0,0.0,1.0
2009-09,3,1.0,1.0,0.0
2009-10,2,3.0,0.0,2.0
2009-11,3,2.0,1.0,0.0
2009-12,0,3.0,3.0,1.0
2010-01,1,0.0,2.0,0.0
2010-02,0,1.0,3.0,1.0
2010-03,1,0.0,0.0,3.0
2010-04,2,1.0,1.0,2.0
2010-05,2,2.0,0.0,3.0
2010-06,1,2.0,1.0,0.0
2010-07,4,1.0,2.0,1.0
2010-08,0,4.0,2.0,0.0
2010-09,2,0.0,1.0,1.0
2010-10,0,2.0,4.0,2.0
2010-11,0,0.0,0.0,2.0
2010-12,3,0.0,2.0,1.0
2011-01,1,3.0,0.0,4.0
2011-02,3,1.0,0.0,0.0
2011-03,1,3.0,3.0,2.0
2011-04,1,1.0,1.0,0.0
2011-05,3,1.0,3.0,0.0
2011-06,0,3.0,1.0,3.0
2011-07,4,0.0,1.0,1.0
2011-08,4,4.0,3.0,3.0
2011-09,2,4.0,0.0,1.0
2011-10,2,2.0,4.0,1.0
2011-11,2,2.0,4.0,3.0
2011-12,3,2.0,2.0,0.0
2012-01,3,3.0,2.0,4.0
2012-02,0,3.0,2.0,4.0
2012-03,6,0.0,3.0,2.0
2012-04,3,6.0,3.0,2.0
2012-05,6,3.0,0.0,2.0
2012-06,5,6.0,6.0,3.0
2012-07,8,5.0,3.0,3.0
2012-08,6,8.0,6.0,0.0
2012-09,7,6.0,5.0,6.0
2012-10,6,7.0,8.0,3.0
2012-11,7,6.0,6.0,6.0
2012-12,3,7.0,7.0,5.0
2013-01,6,3.0,6.0,8.0
2013-02,7,6.0,7.0,6.0
2013-03,7,7.0,3.0,7.0
2013-04,3,7.0,6.0,6.0
2013-05,11,3.0,7.0,7.0
2013-06,8,11.0,7.0,3.0
2013-07,9,8.0,3.0,6.0
2013-08,9,9.0,11.0,7.0
2013-09,8,9.0,8.0,7.0
2013-10,8,8.0,9.0,3.0
2013-11,5,8.0,9.0,11.0
2013-12,3,5.0,8.0,8.0
2014-01,4,3.0,8.0,9.0
2014-02,6,4.0,5.0,9.0
2014-03,12,6.0,3.0,8.0
2014-04,6,12.0,4.0,8.0
2014-05,6,6.0,6.0,5.0
2014-06,5,6.0,12.0,3.0
2014-07,12,5.0,6.0,4.0
2014-08,11,12.0,6.0,6.0
2014-09,8,11.0,5.0,12.0
2014-10,7,8.0,12.0,6.0
2014-11,4,7.0,11.0,6.0
2014-12,7,4.0,8.0,5.0
2015-01,8,7.0,7.0,12.0
2015-02,7,8.0,4.0,11.0
2015-03,6,7.0,7.0,8.0
2015-04,5,6.0,8.0,7.0
2015-05,13,5.0,7.0,4.0
2015-06,9,13.0,6.0,7.0
2015-07,7,9.0,5.0,8.0
2015-08,11,7.0,13.0,7.0
2015-09,10,11.0,9.0,6.0
2015-10,12,10.0,7.0,5.0
2015-11,11,12.0,11.0,13.0
2015-12,7,11.0,10.0,9.0
