Year-Month,query_term,title_clean,source,real_url,article_text_clean,cv_mention_count,risk_mentions
2008-04,"""valley fever""",llamas find refuge at queen creek facility,East Valley Tribune,https://www.eastvalleytribune.com/news/llamas-find-refuge-at-queen-creek-facility/article_160fa9bd-7d0e-5d9d-a0c7-2ed0f78e18f8.html,llamas are curious expressive and polite animals except for the whole spitting part and queen creek residents dave salge and wife alicia santiago have their hands full with nine rescued llamas in addition to four of their own as part of arizona llama rescue a nonprofit they founded santiago said creating the organization was an accident we had llamas and then got a phone call that a woman had died and had two llamas she said they asked if the llamas could come over so people started hearing about it the husband and wife team enjoy having the animals around and working with them on socialization and behavioral problems for some time salge and santiago worked with llama rescues out of north carolina and new mexico but santiago said they needed a local organization a lot of older people get into llamas and alpacas and eventually they go into nursing homes or pass away santiago said a majority come from those situations but we re also seeing more from people losing their jobs or having their properties foreclosed on the rescue is based out of their queen creek home but they have a network of foster homes in areas such as chandler and flagstaff where llamas and alpacas are often sent during the heat of the summer santiago said they are lacking foster homes in southern arizona these animals are very easy to take care of salge said we work to find them a new home it s easy to see the bond between salge and the llamas as he walks them on leads around his yard in queen creek he also takes them on walks through their rural neighborhood some people walk dogs dave walks llamas santiago said with a laugh salge describes the south american native animals which are related to camels as polite curious and playful and for the record they only spit at each other to establish dominance or as a defense salge said the llamas and alpacas eat hay imported from nearby states because they re susceptible to valley fever the spores of which could be found in local hay salge and santiago feed them treats known as sweet feed from time to time and the long necked animals also nibble on the needles of pine tree branches for a tasty snack a big part of what we do is education salge said noting that s one of the reasons he takes them on walks through the neighborhood there s a lot of misconceptions some of those misconceptions include people thinking llamas and alpacas like to be petted because they re a staple in many petting zoos being petted leads to behavioral problems salge said representatives with arizona llama rescue go through a checklist inspection at the homes of people interested in adopting the animals the cost to adopt a llama is they don t require a lot of space but you can t just stick them in your backyard salge said we provide mentoring and help with sheering and toenail trimming we work closely with them but llamas and alpacas aren t for everyone salge said they re not like a dog he said giving his llama friday a hug around the neck something not all llamas would tolerate salge said they look for people who have enough room for at least two because they like to keep them together unless they re being used as guardians of other livestock he said people also like to have the animals for the use of their coat in weaving knitting and crocheting we ask what they re looking for in a companion he said they need to want them for the right reasons,0,0
2008-08,"""valley fever""","anthrax investigation generates valuable forensic science, nau researcher says",The NAU Review,https://news.nau.edu/anthrax-investigation-generates-valuable-forensic-science-nau-researcher-says/,northern arizona university s paul keim says the genomic analysis that linked the anthrax letters to the prime fbi suspect who committed suicide last month has generated unprecedented forensic science the scientific advancement represents a large leap forward in our ability to attribute biothreat agents to their source keim said keim joined five other scientists at the fbi headquarters in washington d c on monday for two press conferences addressing the science behind the fbi s investigation into bruce ivins an army biodefense researcher at the u s army medical research institute for infectious diseases in frederick md ivins committed suicide as federal agents were preparing to charge him with carrying out the anthrax attacks when anthrax spores were sent through the mail killing five people and sickening nau was one of many laboratories in the united states that was coordinated by the fbi in this highly sophisticated scientific investigation said keim new forensic science was developed through this coordinated effort on a scale that had not been achieved previously in any other investigation genomic analysis has reached new levels of sophistication in the last seven years keim continued this led to the most comprehensive description of a pathogen s genetic material in the history of science it was crucial in bringing this case near to closure the fbi had subpoenaed anthrax samples from throughout the united states and the world and the keim genetics lab at nau was one of more than a dozen laboratories that conducted analyses of the samples keim s lab verified the ames strain of the anthrax samples which was the strain used in the postal attacks keim noted that nau had one of the few biosafety facilities in the country that could handle such evidence in one of the samples the keim lab investigated included the ames strain that the fbi scientists had earlier destroyed that strain pointed investigators to ivins when they discovered he tried to substitute a different strain in subsequent samples the science entailed conducting dna fingerprinting on an entire anthrax genome previous analyses looked at only snippets of dna human genome studies over the last two decades have made the study of complete genomes more economically feasible the more dna you have the more information you have to look at keim explained the nau researcher said the forensic science developed in the fbi investigation will result in a peace dividend keim said we will be able to fight common infectious diseases more easily as a result of developing this highly sophisticated dna fingerprinting hospital acquired and food borne infections will be approached in a different manner involving whole genome analysis according to keim we have shown the way forward keim s lab has been a critical player in the development of pathogen fingerprinting for several years key to this was the development by keim of a relationship in with the translational genomics research institute keim directs the pathogen genomics research program for tgen where he established tgen north a state of the art genomics laboratory in flagstaff tgen north s mission is advancing public health clinical medicine and biodefense through targeted microbial genomics under keim s direction scientists at tgen north are developing the next generation of molecular tools for biothreat and other disease outbreak investigations several important outcomes have already resulted from tgen north s work in pathogen genomics research including the development of new diagnostic tests for influenza valley fever drug resistant organisms like the deadly mrsa methicilin resistant staphylococcus aureus and biothreat agents such as plague and anthrax tgen north scientists are also developing new ways to explore the complex communities of bacteria and other microbes that are associated with human health and disease,0,3
2008-09,"""valley fever""","black box warning for remicade, enbrel and other rheumatoid arthritis drugs about risk of fungal infection",AboutLawsuits.com,https://www.aboutlawsuits.com/black-box-warning-for-fungal-infection-980/,add your comments the fda has issued an alert to healthcare providers about the risk of a serious fungal infection which may develop in users of rheumatoid arthritis drugs remicade humira enbrel and cimzia the agency indicates that new information will be added to the drugs black box warnings about the risk the warning applies to drugs that are part of a class of medications known as tnf blockers which work by blocking a protein called tumor necrosis factor alpha or tnf alpha tnf alpha causes inflammation which is a symptom in rheumatoid arthritis juvenile idiopathic arthritis psoriasis and crohn s disease the drugs act as an immunosuppressant which could increase the risk of invasive and potentially fatal infections all of the rheumatoid arthritis drugs already contain warnings about the risk of infections which could include bacterial tuberculosis and the fungal infections like histoplasmosis blastomycosis and coccidioidmycosis however the information will now be placed more prominently on the label to make sure doctors and users are aware of the side effects do you know about spinal cord stimulator lawsuits spinal cord stimulator lawsuits are being investigated for individuals who suffered unnecessary shocks burns or other problems often resulting in the need for additional surgery to remove the scs do you know about spinal cord stimulator lawsuits spinal cord stimulator lawsuits are being investigated for individuals who suffered unnecessary shocks burns or other problems often resulting in the need for additional surgery to remove the scs the fda indicates that many of the cases involving patients who experienced severe problems were not properly diagnosed at first and antifungal treatments were delayed doctors have been urged to watch for signs of histoplasmosis and other fungal infections which could include symptoms similar to the flu the symptoms of a systemic fungal infection from remicade enbrel humira or cimzia could include cough fever fatigue loss of weight sweating and shortness of breath over the past decade since the drugs were approved the fda has received reports of cases of histoplasmosis in patients using the tnf blocker drugs and of those cases resulted in death in at least cases doctors did not recognize the fungal infection in time and delayed antifungal treatment resulting in of the deaths most of the cases occurred in the mississippi river valley and ohio river valley where the fungus is prevalent users of remicade humira enbrel and cimzia have been asked to call their doctor if they develop persistent cough fever fatigue or shortness of breath doctors have been advised to monitor their patients on tnf blocker drugs for possible fungal infections and to start aggressive antifungal therapy if needed in june the fda issued an early communications alert about another possible side effect of the tnf blocker drugs involving a number of reports of lymphoma and other forms of cancer among children and young adults the fda is conducting an ongoing safety review of those reports and estimate that it will take about four more months to complete more top stories a massachusetts man has filed an ozempic vision loss lawsuit claiming the diabetes drug injections caused a condition that eroded his vision in both eyes a public health advocacy group and two pennsylvania men have filed a lawsuit against fanduel draftkings and the nfl over the use of data for addictive live in game microbets insulet is removing certain omnipod insulin pump pods from use following a surge in reports of insulin delivery failures that raise risks of diabetic ketoacidosis and other serious complications,0,4
2008-09,coccidioidomycosis,fda demands tougher warnings on immunosuppressive drugs - abc news,"ABC News - Breaking News, Latest News and Videos",https://abcnews.com/Health/Healthday/story?id=5728066&page=1,sept thursday sept healthday news federal health authorities have asked the manufacturers of four widely used immunosuppressive drugs to bolster safety warnings on the risk of developing opportunistic fungal infections the drugs humira cimzia enbrel and remicade belong to a class of medications known as tumor necrosis factor alpha blockers tnf alpha blockers which suppress the immune system and are approved to treat several conditions including rheumatoid arthritis juvenile idiopathic arthritis psoriatic arthritis plaque psoriasis ankylosing spondylitis and crohn s disease all four drugs already carry black box warnings related to different safety issues including fungal infections fda has asked the manufacturers of these four drug products to highlight existing warnings of fungal infections dr jeffrey siegel clinical team leader in the division of anesthesia analgesia and rheumatology products at the fda s center for drug evaluation and research said at a thursday news conference the box warning which is the most serious warning in the labeling must be upgraded to strongly warn doctors to consider the occurrence of histoplasmosis and other fungal infections histoplasmosis is caused by the fungus histoplasma capsulatum and can cause flu like symptoms the fda reviewed reports of histoplasmosis in patients taking enbrel humira or remicade most of whom reside in the ohio river and mississippi river valleys where the fungus is endemic twenty one of these patients had delayed diagnoses and therefore delayed treatment of these died overall among the patients reviewed died these infections need to be identified early enough so that treatment is not delayed siegel said in a number of cases treatment was delayed and resulted in prolonged hospitalization and death authorities also looked at one reported case of histoplasmosis in a patient taking cimzia there have also been reports of other fungal infections notably coccidioidomycosis and blastomycosis some fatal in patients taking these drugs,0,1
2008-10,"""valley fever""","health highlights: oct. 11, 2008",abcnews.com,https://abcnews.com/Health/Healthday/story?id=6012568&page=1,oct here are some of the latest health and medical news developments compiled by editors of healthday south africans under observation after unidentified fever kills three an infection that may be related to the dangerous ebola virus has killed three people in south africa and about others who may have come into contact with the victims are under observation bbc news reports a type of hemorrhagic fever is the suspected cause bbc news says of the deaths of a female zambian tour guide and two medical people who treated her the woman had been in south africa for two days when she became ill the associated press quotes an official from the world health organization who as saying that tests had ruled out the most common forms of hemorrhagic fever ebola lassa fever rift valley fever and marburg fever because hemorrhagic fever strikes so quickly and is so contagious south african health officials set up the monitoring of people in johannesburg to make sure no one else is ill the public at large are not at risk intensive care specialist professor guy richards is quoted as saying those under observation will have their temperatures taken four times daily for the next three weeks bbc news reports symptoms include high fever nausea and external bleeding pregnancy doesn t cause memory problems there s no evidence to suggest that pregnancy affects a woman s cognitive abilities says an australian study that challenges the widespread belief that pregnant women suffer memory problems the australian national university study included women aged to when they were first interviewed in the women who were pregnant in follow up sessions in and scored the same on logic and memory tests as they did in the initial interview agence france presse reported in addition there were no differences between the pregnant women and the other women it really leaves the question open as to why pregnant women think they have poor memories when the best evidence we have is that they don t study leader professor helen christensen told afp,0,0
2008-11,"""valley fever""",nasa satellites 'to serve' in africa disaster warnings,Universe Today,https://www.universetoday.com/articles/nasa-satellites-to-serve-in-africa-disaster-warnings,outside of the scientific understanding of our universe that comes from being a spacefaring civilization there are many benefits to our continued presence in space satellites besides their obvious benefits like research and communication also can help keep an eye on the earth and are valuable tools in case of disasters such as hurricanes and floods in other words satellites can save lives not to mention allow you to find your own house using google earth nasa and u s agency for international development usaid recently announced that they will be putting the tool of satellite monitoring in the hands of african countries giving them previously inaccessible information related to floods climate change and other large scale environmental factors nasa and usaid recently unveiled servir africa servir being the spanish word for to serve in africa a monitoring system that provides satellite imaging of the continent using existing united states satellite missions the project has been in use in southern mexico central america and the caribbean since thus the spanish namesake i m guessing dan irwin servir project director at nasa s marshall space flight center in huntsville ala said servir africa will benefit from the breadth and depth of valuable nasa earth science satellite and model analyses science and technology are key but ultimately it is the combination of local knowledge along with space based observations that makes real time monitoring of africa s environment effective servir africa will provide satellite imaging via the internet to the regional center for mapping of resources for development in nairobi kenya the center is an intergovernmental organization comprised of member states in eastern and southern africa and is already a pioneer in geospatial mapping in the region data acquired from nasa s satellites will help predict whether regions of the country are flood prone and map regions hit by floods to aid in rescue and cleanup efforts it s also possible to create an early warning tool to predict the spread of vector borne diseases such as rift valley fever and monitor climate change on the continent to better understand impacts on many of africa s diverse ecosystems satellite information will also be used to track urbanization create more accurate maps and more efficiently manage natural resources better information on climate and flooding will likely translate to the reduction of famine due to poor crops and will aid in the preservation of already damaged ecosystems in africa in addition to these long term benefits african countries will be better equipped when responding to immediate disasters servir provided real time data that led to warnings for specific regions in panama when heavy rainfall caused large landslides in november and currently monitors the alantic ocean for potential hurricanes source nasa,0,0
2009-02,coccidioidomycosis,"increase in coccidioidomycosis --- california, 2000--2007",Centers for Disease Control and Prevention | CDC (.gov),https://www.cdc.gov/mmwr/preview/mmwrhtml/mm5805a1.htm,coccidioidomycosis is an infection resulting from inhalation of airborne spores of coccidioides immitis or coccidioides posadasii soil dwelling fungi endemic to california s san joaquin valley southern regions of arizona utah nevada and new mexico western texas and regions of mexico and central and south america of an estimated new infections annually in the united states approximately are asymptomatic patients with symptoms usually experience a self limited influenza like illness ili although some develop severe pneumonia fewer than of patients develop disseminated disease infection usually produces immunity to reinfection during the number of reported coccidioidomycosis cases in california averaged per population annually however from to the incidence rate more than tripled increasing from to per population to characterize this increase the california department of public health cdph analyzed case and hospitalization data for the period and preliminary case report data for the results indicated that during the number of reported cases and hospitalizations for coccidioidomycosis in california increased each year before decreasing in annual incidence during was highest in kern county cases per population and the hospitalization rate was highest among non hispanic blacks increasing from to per population health care providers should maintain heightened suspicion for coccidioidomycosis in patients who live or have traveled in areas where the disease is endemic and who have signs of ili pneumonia or disseminated infection coccidioidomycosis is a reportable disease in california although laboratories are not required to report during california experienced a large epidemic of coccidioidomycosis in the san joaquin valley since cases of coccidioidomycosis have been reported consistently to local health departments in california using confidential morbidity reports cmrs for the analysis summarized in this report cdph reviewed case and hospitalization data for the period using cmrs and california patient discharge data set cpdds data preliminary cmr case data for also were analyzed cmrs include data on the patient s county of residence sex and dates of birth illness onset diagnosis and case report cpdds data include inpatient discharge diagnoses from all california nonfederal hospitals cases with codes for coccidioidomycosis and from the international classification of diseases ninth edition were selected duplicate records were removed so that the cmr data set retained only the first report of a case and the cpdds retained only the first report of a patient s hospitalization for the of reported cmr cases with no date of illness onset or diagnosis year of illness onset was presumed to be year of case report cmr data were used to calculate incidence rates of reported cases overall and by age sex region and county because of reported cmr cases had missing data on race incidence rates by race were not calculated cpdds data were used to calculate rates of first hospitalization overall and by age sex race ethnicity region and county california department of finance population projections were used for denominators negative binomial regression was used to test for statistical significance of change in rates of reported cases and hospitalizations during the period of annual increase in reported cases and hospitalizations fatality rates among hospitalized patients were calculated by using cpdds data for after remaining stable since reported coccidioidomycosis cases in california increased from in incidence rate per population to in per population p figure before decreasing in to cases per population preliminary cmr data indicated that cases were reported in california during january december compared with and cases reported during the same period in and respectively during estimated average annual incidence was highest among adults aged years cases versus other age groups table a total of cases were reported in male patients for an average annual rate of per population compared with cases in females per population table the greatest incidence occurred in the san joaquin valley region where coccidioidomycosis is endemic a total of of california s cases were reported from the san joaquin valley during reported cases from this region increased from per population in to per population in within the region kern county reported the highest incidence every year rates of reported cases in kern county averaged per population during figure peaking in at per population in california coccidioidomycosis cases requiring hospitalization increased from in per population to in per population p before decreasing to per population in figure hospitalizations for coccidioidomycosis were highest among persons aged years averaging per population during table by race ethnicity hospitalizations were highest among non hispanic blacks compared with non hispanic whites hispanics and asians pacific islanders from to hospitalizations among non hispanic blacks increased from per population to per population hospitalizations among non hispanic whites increased from per population in to per population in hospitalizations among hispanics increased from per population to per population and hospitalizations among asians pacific islanders increased from per population to per population by geographic region hospitalizations for coccidioidomycosis in the san joaquin valley increased from per population in to per population in within the region kern county reported the highest hospitalization rates increasing from per population in to per population in and peaking in at hospitalizations per population overall in california during a total of of the persons hospitalized for coccidioidomycosis died reported by dj vugia md c wheeler md kc cummings mph california dept of public health a karon dvm eis officer cdc editorial note this report describes increases in reported coccidioidomycosis cases and hospitalizations during and the highest incidence rate in california since the first year that cmr data were available consistently the number of reported cases and hospitalizations decreased in and preliminary data indicate those decreases might have continued in however rates of coccidioidomycosis in california remain substantially higher than during these increased rates likely are real rather than surveillance artifact because no major changes in diagnosis or reporting of coccidioidomycosis in california occurred before or during the period studied increases in coccidioidomycosis in california are similar to those observed in neighboring arizona and in the united states overall arizona which annually reports approximately of all coccidioidomycosis cases in the united states reported a substantial increase in coccidioidomycosis from cases per population in to cases per population in in the united states overall the number of reported coccidioidomycosis cases increased from per population in to per population in reasons for these recent increases in reported coccidioidomycosis are not fully understood some previous increases have been associated with local environmental and climatic variations other hypothesized causes include aerosolization of spores caused by soil disturbance during periods of increased construction activity growing numbers of persons who are immunocompromised or have other risk factors for severe disease and immigration of previously unexposed persons from areas where coccidioidomycosis is not endemic recent increases in coccidioidomycosis in california are partially attributable to several hundred cases reported from two san joaquin valley prisons with inmates from areas where the disease is not endemic multiple clusters also have been reported at california military bases where personnel often have intensive dust exposure such exposure is hypothesized to increase the risk for infection local outbreaks of coccidioidomycosis have been noted after dust storms coccidioidomycosis hospitalization rates in california were highest among persons aged years which is consistent with previous reports that older age might be a risk factor for severe coccidioidomycosis hospitalization rates also were substantially higher among non hispanic blacks compared with non hispanic whites hispanics and asians pacific islanders black race has been associated previously with increased risk for coccidioidomycosis hospitalization in addition blacks and persons of filipino ancestry have been found to have increased risk for disseminated coccidioidomycosis possibly because of underlying differences in susceptible host genetics immunocompromised persons and women in their second and third trimesters of pregnancy also have increased risk for disseminated disease the findings in this report are subject to at least three limitations first because not all persons with coccidioidomycosis seek medical care and not all diagnosed cases are reported to local health departments this report likely underestimates the actual rate of coccidioidomycosis in california second for cases in which patients were hospitalized medical chart review was not performed to confirm laboratory diagnosis or cause of death from coccidioidomycosis resulting in possible overestimation of hospitalizations and deaths in persons with coccidioidomycosis diagnosed finally kern county s public health laboratory performs much of the coccidioidomycosis testing for patients in that county and might be more likely to report cases routinely than laboratories in most other counties in the san joaquin valley region where this is not the practice in california plans to make coccidioidomycosis a laboratory reportable disease to improve completeness and timeliness of case reporting and delivery of targeted public health recommendations during periods of increased disease given the recent increases in coccidioidomycosis in california and arizona heightened consideration of this disease is warranted in the differential diagnosis of any patient with ili pneumonia or signs of disseminated infection who has lived or traveled in areas where coccidioidomycosis is endemic because intensive dust exposure appears to increase the risk for infection cdc recommends that persons living or traveling in regions where coccidioidomycosis is endemic who are at risk for severe or disseminated disease e g older persons pregnant women immunocompromised persons and persons of black race or filipino ancestry should avoid exposure to outdoor dust as much as possible when such exposure is unavoidable measures to reduce inhalation of outdoor dust such as wetting soil and using respiratory protection when engaging in soil disturbing activities might be effective however options for environmental control of coccidioidomycosis are limited and no safe effective vaccine for the disease exists currently developing such a vaccine appears to be the best option for preventing disease in those persons at risk for coccidioidomycosis acknowledgments the findings in this report are based in part on contributions by sr bissell ms california department of health and ec weiss md office of workforce and career development cdc references chiller tm galgiani jn stevens da coccidioidomycosis infect dis clin n am galgiani jn ampel nm blair je et al coccidioidomycosis clin infect dis state of california department of finance race ethnic population with age and sex detail sacramento ca state of california department of finance july sunenshine rh anderson s erhart l et al public health surveillance for coccidioidomycosis in arizona ann ny acad sci cdc summary of notifiable diseases united states mmwr park bj sigel k vaz v et al an epidemic of coccidioidomycosis in arizona associated with climatic changes j infect dis flaherman v hector r rutherford g estimating severe coccidioidomycosis in california emerg infect dis pappagianis d coccidioidomycosis in california state correctional institutions ann ny acad sci crum n lamb c utz g amundson d wallace m coccidioidomycosis outbreak among united states navy seals training in a coccidioides immitis endemic area coalinga california j infect dis louie l ng s hajjeh r et al influence of host genetics on the severity of coccidioidomycosis emerg infect dis additional information available at figure return to top figure return to top table return to top all mmwr html versions of articles are electronic conversions from typeset documents this conversion might result in character translation or format errors in the html version users are referred to the electronic pdf version and or the original mmwr paper copy for printable versions of official text figures and tables an original paper copy of this issue can be obtained from the superintendent of documents u s government printing office gpo washington dc telephone contact gpo for current prices questions or messages regarding errors in formatting should be addressed to mmwrq cdc gov,12,12
2009-03,"""valley fever""",somaliland youth risk death in search of better life,The New Humanitarian,https://www.thenewhumanitarian.org/report/83694/somalia-somaliland-youth-risk-death-search-better-life,,0,0
2009-04,"""valley fever""",community mourns youth’s death in fall from cliff,The Mountain Enterprise,https://mountainenterprise.com/story/community-mourns-youths-death-in-fall-from-cliff-14E1/,by patric hedlund gary meyer and pam sturdevant from that spot the world unfolds below in an endless expanse to stand there is to feel as if you can fly high at the top of san emigdio mountain overlooking a horizon stretching forever into the san joaquin valley below the kids were giddy playing games making jokes kicking rocks then the unthinkable happened michael slipped michael manning would have celebrated his th birthday on tuesday april on monday april michael and four friends one a college student the others all underclassmen at frazier mountain high school started celebrating early shortly after p m the pine mountain youth fell more than feet down the steep cliff at the northern face of san emigdio mountain at p m a dispatch was relayed to kern county fire station in pine mountain the firefighter team with a paramedic rushed to the scene paramedic dave whitman descended the mountain he radioed up that the youth was unconscious but had a weak pulse with the paramedic at his side the young man passed away shortly after then the paramedic became stranded on the face of the cliff with the youth s body by p m southern kern search and rescue had assembled on the mountain they deployed a team to help retrieve the fmhs student s body and to assist the paramedic hall ambulance personnel were standing by to assist anyone who might be hurt in this effort fire crews spent several hours rigging trees with ropes and pulleys in order to free the paramedic from the steep ravine at approximately p m whitman was finally to secure uninjured and able to walk to the top of the mountain but the treacherously steep terrain hampered efforts throughout monday night to retrieve the body search and rescue command was concerned that attempts during the night would imperil other rescue workers a firm wind rising up the north face of san emigdio mountain posed a problem for a helicopter especially in the darkness of night causing county sheriff s officials to postpone the recovery until daylight for the safety of personnel in the morning kern county sheriff s search and rescue team members brought the victim s body to just below the top of the mountain where family members were waiting with pastor roger reece after about minutes the body was brought up to the coroner s van where television news crews were waiting the gate to the san emigdio road is typically closed through the winter it had only recently been re opened by the u s forest service the edge just draws you in it mesmerizes you a family friend who asked not to be named said of the sheer escarpment that plunges from the ledge of the lookout spot which is often high above the valley s clouds at fmhs a plan to provide support for grief stricken students was developed el tejon unified school district superintendent shelly mason confirmed that counselors were on duty in the fmhs library to talk with students and to provide grief counseling students are writing messages to express condolences to the youth s parents and working together to plan a memorial in his honor mason said the edge just draws you in it mesmerizes you comment by parent about san emigdio cliff face this is part of the april online edition of the mountain enterprise,4,0
2009-06,"""valley fever""",sub-antarctic penguins infected with tick-borne viruses – magazine issue 16: 2009,Australian Antarctic Program,https://www.antarctica.gov.au/magazine/issue-16-2009/science/sub-antarctic-penguins-infected-with-tick-borne-viruses/,scientists have discovered that ticks associated with penguins on macquarie island contain four new viruses whose closest relatives are found in the northern hemisphere the four arboviruses viruses transmitted by arthropods which include insects and ticks were identified in the globally distributed seabird tick ixodes uriae infesting colonies of king royal and rockhopper penguins on the sub antarctic island while the viruses belong to groups that include the west nile virus bluetongue and the unpleasant sounding rift valley fever and crimean congo hemorrhagic fever viruses project leader professor andreas suhrbier of the queensland institute of medical research says the penguin viruses are fairly distantly related to anything that harms humans or livestock and unlikely to pose an imminent health threat this is good news for the increasing numbers of tourists visiting antarctica whose immune systems may be compromised because of age illness or immunosuppressive drugs for cancer or organ transplant such individuals are often more susceptible to infection by unusual agents even though these are seabird viruses immunosuppressed people might become infected if they were bitten by a tick professor suhrbier says however ixodes uriae usually prefers to feed on birds rather than humans so the chances of being bitten are low the viruses do not appear to pose a threat to the penguin populations either as penguin numbers continue to recover following an end to their rendering for oil in interestingly the viruses were closely related to viruses found on the other side of the world one virus isolated from ticks in a rockhopper colony at catch me cave on the northern tip of the island was closely related to the seemingly harmless uukuniemi virus which infects cattle and some seabirds in finland another virus associated with king penguins at sandy bay was related to broadhaven virus which infects seabirds in scotland this research appears to demonstrate that large geographical distances do have an important role in the evolution of these viruses professor suhrbier says one likely explanation for this long distance relationship is that the ticks harbouring these viruses are carried by migratory seabirds such as sooty terns and arctic shearwaters these birds visit macquarie island each year and travel to every continent during their annual migration the ticks and their viruses could thus find their way to most seabird populations in the world one might also speculate that if the migration patterns of these seabirds change as a result of climate change these viruses might come into contact with new bird or animal populations with some potential to cause problems professor suhrbier says the research team isolated the viruses from ticks collected under rocks in the very large smelly and wet bogs surrounding the king royal and rockhopper penguin colonies gentoo penguin colonies were also searched but no ticks were found associated with them gentoos move their colony every year by up to m which probably limits tick infestation as the ticks drop off when the birds go out to sea and as young penguins mature he says viruses were extracted from the macerated ticks back in the laboratory and identified by transmission electron microscopy and genome sequencing viruses belonging to four of the seven genera of viruses containing arboviruses flavivirus orbivirus phlebovirus and nairovirus were subsequently identified transmission electron microscopy figure above reveals the flavivirus a isolated from ticks in a king penguin colony inside the cytoplasmic vesicles of infected cells the enveloped virus an outer membrane surrounds the genome is about nm in diameter b shows a non enveloped orbi or colti virus from king penguin associated ticks about nm in diameter in the cell cytoplasm c was identified as a phlebovirus in the family bunyaviridae from a rockhopper colony these enveloped viruses are spherical nm in diameter and occur outside cells the nairovirus also from the bunyaviridae family d was found in the royal penguin colony scale bars are nm while similar viruses were isolated from ixodes uriae on macquarie island some years ago no sequence data is available for them as a result the four arboviruses isolated by professor suhrbier and his team were considered to be new to science and have been named after the places where the ticks were collected sandy bay catch me cave and finch creek the fourth was almost identical to gadgets gully virus isolated by others as a next step in his research professor suhrbier is keen to obtain frozen serum samples from antarctic and sub antarctic cruise passengers who develop unexplained fevers likely to be of viral origin after visiting seabird colonies and being bitten by a tick this research was funded by the australian antarctic division wendy pyper corporate communications aad,0,0
