Year-Month,query_term,title,published,link,source,summary
2008-04,"""valley fever""",Llamas find refuge at Queen Creek facility - East Valley Tribune,"Sun, 20 Apr 2008 07:00:00 GMT",https://news.google.com/rss/articles/CBMiywFBVV95cUxQcGFVOF80NDFTU0JqSmNaOVRYR2xsZERHMjJmUVJBQ1JOVmtMM0NmdnlxT3dsLU53LXFaRzJ4S1QxQTdKQkFoaDNFZWdmWndPbThMbGlqR0FJNTlneVV0djd6cVpjaEd2bUdsWXRuMzlpaUFFaG9UNXhWRTQxYV9nODZxSFp5QW5WSENlRzVyb3dxMk9VT2xJU2hMMzBhcXQ3MnhsREJqRzJ5cUJRcFloTW5PLVlib1g3SDVNOHpaSmNDR1ltSVNlR29Gbw?oc=5,East Valley Tribune,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQcGFVOF80NDFTU0JqSmNaOVRYR2xsZERHMjJmUVJBQ1JOVmtMM0NmdnlxT3dsLU53LXFaRzJ4S1QxQTdKQkFoaDNFZWdmWndPbThMbGlqR0FJNTlneVV0djd6cVpjaEd2bUdsWXRuMzlpaUFFaG9UNXhWRTQxYV9nODZxSFp5QW5WSENlRzVyb3dxMk9VT2xJU2hMMzBhcXQ3MnhsREJqRzJ5cUJRcFloTW5PLVlib1g3SDVNOHpaSmNDR1ltSVNlR29Gbw?oc=5"" target=""_blank"">Llamas find refuge at Queen Creek facility</a>&nbsp;&nbsp;<font color=""#6f6f6f"">East Valley Tribune</font>"
2008-08,"""valley fever""","Anthrax investigation generates valuable forensic science, NAU researcher says - The NAU Review","Wed, 20 Aug 2008 07:00:00 GMT",https://news.google.com/rss/articles/CBMioAFBVV95cUxPNkhHaThmSkoyUXlVRWVGZk5Id1JPRUI4WEtaUXA3aWdxdlRWdk95THNlY2xsMTgwRjJKUGREVXpfUWUxYTBkc2t3cnl2SU9Md0VrYl9BMzBHbllENVQxUDN4S3lLOUVzVUhldWtKNWNKM3JiVzZKbWZvZElpR3BmQzY1R0dYZ0lqWm8tejRCb3ltSzA3dzV3Sl9lQkYxQ2pS?oc=5,The NAU Review,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxPNkhHaThmSkoyUXlVRWVGZk5Id1JPRUI4WEtaUXA3aWdxdlRWdk95THNlY2xsMTgwRjJKUGREVXpfUWUxYTBkc2t3cnl2SU9Md0VrYl9BMzBHbllENVQxUDN4S3lLOUVzVUhldWtKNWNKM3JiVzZKbWZvZElpR3BmQzY1R0dYZ0lqWm8tejRCb3ltSzA3dzV3Sl9lQkYxQ2pS?oc=5"" target=""_blank"">Anthrax investigation generates valuable forensic science, NAU researcher says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The NAU Review</font>"
2008-09,"""valley fever""","Black Box Warning for Remicade, Enbrel and Other Rheumatoid Arthritis Drugs about Risk of Fungal Infection - AboutLawsuits.com","Fri, 05 Sep 2008 07:00:00 GMT",https://news.google.com/rss/articles/CBMifkFVX3lxTE9MbGtrVkgtUUVpanFpWlpZcWM3d1ltYWZpZ1BBTlhUTkpBTHp1NUxseXdYcmRMZjhOaWxEZmt3dkQwWW5rSEgtdDNnWF9HeC0xWV90SDRqb0RjdWZ5S0NrV0R4UE9XR0NNZXlMRjlsUG5tb2lQWW5DbDAzZzJxQQ?oc=5,AboutLawsuits.com,"<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTE9MbGtrVkgtUUVpanFpWlpZcWM3d1ltYWZpZ1BBTlhUTkpBTHp1NUxseXdYcmRMZjhOaWxEZmt3dkQwWW5rSEgtdDNnWF9HeC0xWV90SDRqb0RjdWZ5S0NrV0R4UE9XR0NNZXlMRjlsUG5tb2lQWW5DbDAzZzJxQQ?oc=5"" target=""_blank"">Black Box Warning for Remicade, Enbrel and Other Rheumatoid Arthritis Drugs about Risk of Fungal Infection</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AboutLawsuits.com</font>"
2008-09,coccidioidomycosis,"FDA Demands Tougher Warnings on Immunosuppressive Drugs - ABC News - Breaking News, Latest News and Videos","Thu, 04 Sep 2008 07:00:00 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE1RQVR6YVFfRVBrRmhSazNxQ0FoSjVwTGNPNGxyRkJmYzJtbTFKVElVRmdaQzlRX0pZYkNuY2NpdDN3S2FDVVZqUlZqQXRJVmNBeWZ2UmFWejVtSXZpaXJmMHZFelZJX0NzaDdKb9IBckFVX3lxTE5EUkdpdTRMcmNrSUZuYWlHc19OYUFFdkFIcEI2MVVCWGZ2ZW0zbHlnbUppYWFHRW9tcHg3UmZENjBpNGw0bXRYMC1DeHVpbWltQklxSFV0ZVVpeWRnYWZGVDFBX1V0WnVKTDBZTGIyYUc3Zw?oc=5,"ABC News - Breaking News, Latest News and Videos","<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE1RQVR6YVFfRVBrRmhSazNxQ0FoSjVwTGNPNGxyRkJmYzJtbTFKVElVRmdaQzlRX0pZYkNuY2NpdDN3S2FDVVZqUlZqQXRJVmNBeWZ2UmFWejVtSXZpaXJmMHZFelZJX0NzaDdKb9IBckFVX3lxTE5EUkdpdTRMcmNrSUZuYWlHc19OYUFFdkFIcEI2MVVCWGZ2ZW0zbHlnbUppYWFHRW9tcHg3UmZENjBpNGw0bXRYMC1DeHVpbWltQklxSFV0ZVVpeWRnYWZGVDFBX1V0WnVKTDBZTGIyYUc3Zw?oc=5"" target=""_blank"">FDA Demands Tougher Warnings on Immunosuppressive Drugs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC News - Breaking News, Latest News and Videos</font>"
2008-10,"""valley fever""","Health Highlights: Oct. 11, 2008 - abcnews.com","Sat, 11 Oct 2008 07:00:00 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE1vcGJ3Q0stMzk0X0NLeVJUZ1hXX3lsLXRsNGl6eWg4UnU5N2VQUUhnSWd2TEQxbHBRZFcwMXBQaUQ0OEc2dllIT1FxTEcxc1I2WWM2Wkh2UnVzb1V2LXh3dFJsMW92eFo1bW95cdIBckFVX3lxTE5SRkRFRmN1aTY0NjJiUEttb0ZpeXZBdHNlei0ySk1tRnNpT19TcUxyTWJzR00ycVNxd2VBeF8yc3BCSE1BTzFmUEhFSm9iVWoyNWpJQTNxQnRzcWowMFotSExiWExoNWViNjZPV3lvZng2dw?oc=5,abcnews.com,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE1vcGJ3Q0stMzk0X0NLeVJUZ1hXX3lsLXRsNGl6eWg4UnU5N2VQUUhnSWd2TEQxbHBRZFcwMXBQaUQ0OEc2dllIT1FxTEcxc1I2WWM2Wkh2UnVzb1V2LXh3dFJsMW92eFo1bW95cdIBckFVX3lxTE5SRkRFRmN1aTY0NjJiUEttb0ZpeXZBdHNlei0ySk1tRnNpT19TcUxyTWJzR00ycVNxd2VBeF8yc3BCSE1BTzFmUEhFSm9iVWoyNWpJQTNxQnRzcWowMFotSExiWExoNWViNjZPV3lvZng2dw?oc=5"" target=""_blank"">Health Highlights: Oct. 11, 2008</a>&nbsp;&nbsp;<font color=""#6f6f6f"">abcnews.com</font>"
2008-11,"""valley fever""",NASA Satellites 'To Serve' in Africa Disaster Warnings - Universe Today,"Sun, 23 Nov 2008 08:00:00 GMT",https://news.google.com/rss/articles/CBMilgFBVV95cUxQdm1zUzNhaGZXc0x1dWFYcUJtSlY5cGZ1T2N3clNxWWhmS255aFp3c1QzNDJVZ2JFdXRxaGxvOHRIQUdsZXpnTWtoTDFjRlEzZHU4bEFFMVZfb2JCR21XMk5XSWZKRkU0RGJvbG1LaFhVYzJDb3E1U1BOZWFHV3dVQVFqU1JyLU9tWjNSWU81d1ptMTNBLUE?oc=5,Universe Today,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxQdm1zUzNhaGZXc0x1dWFYcUJtSlY5cGZ1T2N3clNxWWhmS255aFp3c1QzNDJVZ2JFdXRxaGxvOHRIQUdsZXpnTWtoTDFjRlEzZHU4bEFFMVZfb2JCR21XMk5XSWZKRkU0RGJvbG1LaFhVYzJDb3E1U1BOZWFHV3dVQVFqU1JyLU9tWjNSWU81d1ptMTNBLUE?oc=5"" target=""_blank"">NASA Satellites 'To Serve' in Africa Disaster Warnings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Universe Today</font>"
2009-02,coccidioidomycosis,"Increase in Coccidioidomycosis --- California, 2000--2007 - Centers for Disease Control and Prevention | CDC (.gov)","Fri, 13 Feb 2009 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZEFVX3lxTE9pX2xBZmd1Zy1JT2Y0T2lyX3NkdzVOWEFYa1h1T2JaU2tMVkxNTG9BWUJabmc1WnZpZXhaRlFsTHV3cjZsNVFFV3pKZG1mQ2Y2a1duSDdXVFFtR3cyWS1aa1hpYkw?oc=5,Centers for Disease Control and Prevention | CDC (.gov),"<a href=""https://news.google.com/rss/articles/CBMiZEFVX3lxTE9pX2xBZmd1Zy1JT2Y0T2lyX3NkdzVOWEFYa1h1T2JaU2tMVkxNTG9BWUJabmc1WnZpZXhaRlFsTHV3cjZsNVFFV3pKZG1mQ2Y2a1duSDdXVFFtR3cyWS1aa1hpYkw?oc=5"" target=""_blank"">Increase in Coccidioidomycosis --- California, 2000--2007</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Centers for Disease Control and Prevention | CDC (.gov)</font>"
2009-03,"""valley fever""",Somaliland youth risk death in search of better life - The New Humanitarian,"Mon, 30 Mar 2009 07:00:00 GMT",https://news.google.com/rss/articles/CBMipAFBVV95cUxOUE1ndEFiSk81R1NsYVU1bEtZb1RBVlg4QVptZ2RKSGNoUU1rMUpfTl9xS2pNdU05bWdEZHM2NUxnZElmblk0LTNnRlIxY0MxcWVnNXlNb2Nkd0piaHJxaVhHOTRSekFyLVJfLVo5emZJc29LNUxZblIwVEtJU1B3MmFaSXRVc013NFV2WXcyXzFnd0hqV0YwWkpRTHJmVFg0TV9sYQ?oc=5,The New Humanitarian,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxOUE1ndEFiSk81R1NsYVU1bEtZb1RBVlg4QVptZ2RKSGNoUU1rMUpfTl9xS2pNdU05bWdEZHM2NUxnZElmblk0LTNnRlIxY0MxcWVnNXlNb2Nkd0piaHJxaVhHOTRSekFyLVJfLVo5emZJc29LNUxZblIwVEtJU1B3MmFaSXRVc013NFV2WXcyXzFnd0hqV0YwWkpRTHJmVFg0TV9sYQ?oc=5"" target=""_blank"">Somaliland youth risk death in search of better life</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Humanitarian</font>"
2009-04,"""valley fever""",Community Mourns Youth’s Death in Fall from Cliff - The Mountain Enterprise,"Fri, 24 Apr 2009 07:00:00 GMT",https://news.google.com/rss/articles/CBMilgFBVV95cUxObFU5bVZGZDlNbDFGSzA5LXZKZzlBWDdVVWo1ZEFIb194TGxWUHo3MkR2X204VjVELWhTRFg4a3EyX3Jib0dDTDI3aXQ5blNGazVyUlhhY3Q1NHQzS3BLNXljdy1BOEtXZ05oMUozZmpGUDM3RGp6RllXQ3lDc1FNQlFWTnZoOTVVOVNRLUxJeTVlVENvZnc?oc=5,The Mountain Enterprise,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxObFU5bVZGZDlNbDFGSzA5LXZKZzlBWDdVVWo1ZEFIb194TGxWUHo3MkR2X204VjVELWhTRFg4a3EyX3Jib0dDTDI3aXQ5blNGazVyUlhhY3Q1NHQzS3BLNXljdy1BOEtXZ05oMUozZmpGUDM3RGp6RllXQ3lDc1FNQlFWTnZoOTVVOVNRLUxJeTVlVENvZnc?oc=5"" target=""_blank"">Community Mourns Youth’s Death in Fall from Cliff</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Mountain Enterprise</font>"
2009-06,"""valley fever""",Sub-Antarctic penguins infected with tick-borne viruses – Magazine Issue 16: 2009 - Australian Antarctic Program,"Thu, 11 Jun 2009 07:00:00 GMT",https://news.google.com/rss/articles/CBMiuAFBVV95cUxPZk9ORnpRYkIxcjZPU2NaXzRtbklDeHFuZGUycWhoY2JqbzBDai1WQjZwWkNuUlNJNTdsY1k0VjFUbktBYWJkVEI3RG43ajAxbEt6YUtZc2tYckZQRGJBc2UwMUdoNGc1d3NmY1lXVmY0Q0VPV204Q1E3ZTVWVktBVjdwODZYQW41cFUwajNDYVl3by1NMlhQNmFjZFpJQlFTNmNnVW9tOWtqY0Y1cWlKcmROUmoyX3d3?oc=5,Australian Antarctic Program,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxPZk9ORnpRYkIxcjZPU2NaXzRtbklDeHFuZGUycWhoY2JqbzBDai1WQjZwWkNuUlNJNTdsY1k0VjFUbktBYWJkVEI3RG43ajAxbEt6YUtZc2tYckZQRGJBc2UwMUdoNGc1d3NmY1lXVmY0Q0VPV204Q1E3ZTVWVktBVjdwODZYQW41cFUwajNDYVl3by1NMlhQNmFjZFpJQlFTNmNnVW9tOWtqY0Y1cWlKcmROUmoyX3d3?oc=5"" target=""_blank"">Sub-Antarctic penguins infected with tick-borne viruses – Magazine Issue 16: 2009</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Australian Antarctic Program</font>"
