Year-Month,risk_mentions_count,cv_mentions_count,Num_Articles
2008-04,0,0,1
2008-05,0,0,0
2008-06,0,0,0
2008-07,0,0,0
2008-08,3,0,1
2008-09,5,0,2
2008-10,0,0,0
2008-11,0,0,2
2008-12,0,0,0
2009-01,0,0,0
2009-02,12,12,1
2009-03,0,0,0
2009-04,0,4,2
2009-05,0,0,0
2009-06,0,0,1
2009-07,0,0,0
2009-08,0,0,1
2009-09,17,2,3
2009-10,3,2,2
2009-11,0,0,3
2009-12,0,0,0
2010-01,0,0,1
2010-02,0,0,0
2010-03,1,0,1
2010-04,0,0,2
2010-05,0,0,2
2010-06,0,0,1
2010-07,3,0,4
2010-08,0,0,0
2010-09,0,0,2
2010-10,0,0,0
2010-11,0,0,0
2010-12,0,0,3
2011-01,0,0,1
2011-02,0,0,3
2011-03,0,0,1
2011-04,2,0,1
2011-05,2,1,3
2011-06,0,0,0
2011-07,0,0,4
2011-08,2,0,4
2011-09,2,0,2
2011-10,3,1,2
2011-11,1,0,2
2011-12,2,0,3
2012-01,7,2,3
2012-02,0,0,0
2012-03,3,0,6
2012-04,2,2,3
2012-05,4,0,6
2012-06,10,0,5
2012-07,18,0,8
2012-08,5,6,6
2012-09,35,21,7
2012-10,13,1,6
2012-11,15,20,7
2012-12,18,7,3
2013-01,2,0,6
2013-02,1,4,7
2013-03,2,0,7
2013-04,2,3,3
2013-05,31,32,11
2013-06,30,11,8
2013-07,12,8,9
2013-08,21,19,9
2013-09,5,7,8
2013-10,9,1,8
2013-11,1,33,5
2013-12,0,0,3
2014-01,11,8,4
2014-02,1,4,6
2014-03,15,6,12
2014-04,15,4,6
2014-05,4,0,6
2014-06,2,6,5
2014-07,11,10,12
2014-08,12,20,11
2014-09,24,10,8
2014-10,4,4,7
2014-11,25,0,4
2014-12,5,0,7
2015-01,9,0,8
2015-02,86,17,7
2015-03,21,22,6
2015-04,17,2,5
2015-05,16,0,13
2015-06,9,7,9
2015-07,3,4,7
2015-08,19,2,11
2015-09,18,0,10
2015-10,12,2,12
2015-11,18,0,11
2015-12,15,1,7
